Epoch, NumTrainingWords, LAS
0, 1179, 43.922250541911815
1, 2684, 60.398751816297846
2, 4185, 66.59441175769992
3, 5688, 69.91019747028417
4, 7200, 72.43514923417736
5, 8700, 74.09542412043544
6, 10222, 74.36935756651819
7, 11768, 76.70136490317049
8, 13280, 77.44217622257688
9, 14794, 78.31161716014387
10, 16318, 78.18775160191515
11, 17820, 79.12865343846026
12, 19323, 79.79323979895668
13, 20837, 80.17912865343845
14, 22345, 80.22200519282532
15, 23868, 80.838950954003
16, 25374, 80.86038922369643
17, 26896, 81.27962649770134
18, 28411, 81.54403182392035
19, 29948, 81.405874085896
