Epoch, NumTrainingWords, LAS
0, 1179, 44.427240894690456
1, 2716, 58.3597341654558
2, 4246, 63.7264476787118
3, 5792, 67.61630261308687
4, 7301, 69.92448965007979
5, 8807, 72.108811128844
6, 10309, 72.69002644053262
7, 11850, 74.34315523689288
8, 13350, 74.58135823348658
9, 14852, 75.22212429432362
10, 16364, 76.86810700078607
11, 17885, 77.11345608727758
12, 19411, 78.70227007455753
13, 20941, 79.06433862937996
14, 22461, 79.20726042733618
15, 23966, 79.68604845048951
16, 25483, 79.47881184345299
17, 26995, 79.73607107977418
18, 28507, 80.08146542483505
19, 30012, 80.3816012005431
20, 31542, 80.45544412948715
21, 33072, 81.39872799599819
22, 34602, 81.33441318691789
23, 36125, 80.84133298396894
24, 37643, 81.34870536671352
