Epoch, NumTrainingWords, LAS
0, 1179, 44.29384721659798
1, 2694, 63.12617612729568
2, 4214, 67.82592125008932
3, 5726, 72.2636430766299
4, 7233, 74.21214358876635
5, 8749, 75.54369833972511
6, 10261, 77.30401848455253
7, 11796, 77.61368238012435
8, 13327, 78.02815559419737
9, 14833, 78.4164264786451
10, 16356, 79.61220552154546
11, 17868, 79.86470069793478
12, 19376, 80.6198041971368
13, 20878, 80.55787141802244
14, 22378, 80.97949072199329
15, 23889, 81.63216693266001
16, 25407, 81.30821085729258
17, 26915, 81.96565112789119
18, 28417, 81.8251113599009
19, 29930, 82.42061885138516
20, 31441, 82.34677592244111
21, 32954, 82.57545079917105
22, 34488, 81.8179652700031
23, 36023, 82.43491103118077
24, 37529, 82.55639455944356
