Epoch, NumTrainingWords, LAS
0, 1179, 9.884210526315789
1, 2705, 27.80459156433529
2, 4223, 34.53274825288477
3, 5756, 36.360437240196184
4, 7268, 36.97734122111843
5, 8789, 35.04958349861166
6, 10322, 38.07424460431655
7, 11829, 38.62568107943783
8, 13340, 32.18607855013598
9, 14847, 39.260546384786174
10, 16376, 36.607142857142854
11, 17892, 38.57864222928745
12, 19406, 36.815465996879404
13, 20913, 35.97878819157721
14, 22455, 38.07785249001891
15, 23965, 35.73853762865927
16, 25485, 34.36793814152305
17, 26997, 35.67803660565724
18, 28498, 40.633167106954666
19, 30004, 38.1240283295906
20, 31519, 36.26746096959737
21, 33025, 41.62811933953085
22, 34539, 35.60373409115216
23, 36062, 37.755834269312366
24, 37563, 36.02771362586605
25, 39068, 36.98086186694441
26, 40584, 40.308194102376355
27, 42086, 36.30655617757662
28, 43596, 40.292402749978244
29, 45107, 38.79679144385027
30, 46645, 40.28528638223261
31, 48162, 36.509184877254086
32, 49664, 39.074234130413906
33, 51165, 39.76143533123028
34, 52681, 34.27622653734789
35, 54187, 42.4466269923842
36, 55695, 37.676071413280816
37, 57218, 35.8320476085519
38, 58740, 40.00635958935223
39, 60252, 38.54134950933321
40, 61773, 36.18976231351404
41, 63287, 37.4500199920032
42, 64787, 35.682523267838675
43, 66292, 37.47055043906618
44, 67805, 34.843137799761024
45, 69305, 40.28110479378914
46, 70829, 40.549146839702
47, 72356, 42.055167663358276
48, 73856, 38.94114573126919
49, 75356, 39.543297948595416
50, 76856, 39.46841954844241
51, 78358, 32.64464359368555
52, 79884, 40.52527646129542
53, 81395, 35.49879156596383
54, 82898, 40.11107682813946
55, 84414, 31.380733514679672
56, 85918, 35.83771600300526
57, 87438, 36.139917253237336
58, 88950, 40.13790705759648
59, 90460, 44.45980768022123
60, 91991, 41.02405498281787
61, 93502, 36.183263915183645
62, 95022, 37.38617200674536
63, 96535, 38.22577574719208
64, 98039, 39.06164757228587
65, 99566, 39.76764968722073
66, 101070, 34.413080364029
67, 102578, 33.88221619527315
68, 104105, 38.091503267973856
69, 105628, 35.49679487179487
70, 107151, 39.42054433713784
71, 108451, NaN
