Epoch, NumTrainingWords, LAS
0, 1179, 8.457894736842105
1, 2691, 24.816629832484544
2, 4204, 36.27513617118044
3, 5730, 35.542685071215054
4, 7235, 35.60951669213523
5, 8744, 37.36975627434991
6, 10265, 34.33800775363236
7, 11766, 36.3170190398318
8, 13298, 34.86094790442616
9, 14826, 35.95893303092087
10, 16332, 32.68057155461876
11, 17853, 35.90979879150314
12, 19366, 34.96965165933829
13, 20870, 36.9273800623856
14, 22403, 39.06717397008659
15, 23912, 41.5758547008547
16, 25415, 32.71992818671454
17, 26940, 41.996536196744024
18, 28477, 41.72998164101116
19, 29995, 39.86290914851029
20, 31503, 32.02718971136624
21, 33008, 39.40718562874252
22, 34520, 41.77118501657526
23, 36046, 41.22897356676965
24, 37571, 38.420809211680464
25, 39096, 38.511068366315655
26, 40622, 40.29465193406996
27, 42133, 43.1176711208072
28, 43654, 40.476938106203335
29, 45159, 36.86719028918243
30, 46673, 40.89619965967101
31, 48174, 45.33991330944026
32, 49690, 39.707467282525016
33, 51200, 43.03782459191336
34, 52715, 39.156210663093354
35, 54232, 39.42889324600559
36, 55738, 42.585877657862554
37, 57251, 38.664575694659185
38, 58770, 42.47819850178738
39, 60287, 40.60965005052998
40, 61813, 43.403831678119616
41, 63323, 43.14055397905628
42, 64850, 44.12108613745615
43, 66374, 41.69561821658453
44, 67875, 41.315642458100555
45, 69394, 45.12701408041806
46, 70896, 42.5148796036134
47, 72396, 45.23711989916496
48, 73897, 34.69085401988543
49, 75421, 41.68906346909241
50, 76933, 45.93100957197038
51, 78439, 44.06303398519081
52, 79946, 45.554489485887906
53, 81463, 44.86621296022319
54, 82971, 44.75417917805763
55, 84480, 44.195238095238096
56, 85984, 46.14602916518469
57, 87489, 40.949942807342445
58, 89005, 41.89507116809787
59, 90509, 43.4238262535931
60, 92019, 48.344046953605364
61, 93532, 48.95304080061586
62, 95042, 43.97217928902627
63, 96548, 49.139431444594855
64, 98064, 42.67260579064588
65, 99576, 46.053659807241466
66, 101076, 46.27123977344242
67, 102580, 50.68493150684932
68, 104083, 48.348106365834006
69, 105584, 51.37238836542401
70, 107088, 49.46808510638298
71, 108451, NaN
